date_collected,operating_field_name,crop_name,robot_name,experiment_id,_id
2020-05-21,raz-2,COTTON,DCM-MANATEE,d&l farms soybeans,151
2020-05-21,river field,COTTON,DCM-MANATEE,senter soybeans,383
2020-05-21,south davis,COTTON,DCM-MANATEE,senter cotton,101
2020-05-21,vigil middle,SOYBEANS,DCM-SEAL,thurs 5/21/2020 morning,159
2020-05-22,22&23,SOYBEANS,DCM-MANATEE,keasler jdlink soybeans,263
2020-05-22,Field 1,COTTON,DCM-DOLPHIN,small cotton,249
2020-05-22,Field 2,COTTON,DCM-DOLPHIN,small cotton,218
2020-05-22,Field 3,COTTON,DCM-DOLPHIN,small cotton,265
2020-05-22,North Field,SOYBEANS,DCM-OTTER,Fri 5/22 aftrnoon,42
2020-05-22,Northfield,SOYBEANS,DCM-OTTER,Fri 5/22 aftrnoon,44
2020-05-22,Northwest,COTTON,DCM-DOLPHIN,small cotton,241
2020-05-22,Pond 1,COTTON,DCM-DOLPHIN,small cotton,284
2020-05-22,South Pond,COTTON,DCM-DOLPHIN,small cotton,249
2020-05-22,Southfield,CORN,DCM-OTTER,Fri 5/22 aftrnoon,53
2020-05-24,East,COTTON,DCM-DOLPHIN,medium cotton,147
2020-05-24,North,COTTON,DCM-DOLPHIN,medium cotton,184
2020-05-24,west,COTTON,DCM-DOLPHIN,medium cotton,193
2020-05-25,Ayers 62 Acre,COTTON,DCM-DOLPHIN,small cotton,253
2020-05-25,Ayers Beside Shop,COTTON,DCM-DOLPHIN,small cotton,273
2020-05-25,Ayers Little Lucas Teate,COTTON,DCM-DOLPHIN,small cotton,286
2020-05-25,Gordy big field,COTTON,DCM-DOLPHIN,medium cotton,132
2020-05-25,Gordy field on curve,COTTON,DCM-DOLPHIN,medium cotton,284
2020-05-25,all 1,COTTON,DCM-DOLPHIN,small cotton,270
2020-05-26,20,COTTON,DCM-MANATEE,wildy cotton,2
2020-05-26,42,COTTON,DCM-MANATEE,wildy cotton,2
2020-05-26,60,COTTON,DCM-MANATEE,wildy cotton,101
2020-05-26,b03,COTTON,DCM-MANATEE,wildy cotton,2
2020-05-26,b3,COTTON,DCM-MANATEE,wildy cotton,1
2020-05-27,1100,SOYBEANS,DCM-SEAL,wed 5/27/2020 morning,38
2020-05-27,181,COTTON,DCM-MANATEE,scott farms cotton,244
2020-05-27,2,COTTON,DCM-MANATEE,keasler cotton,214
2020-05-27,4042,COTTON,DCM-MANATEE,doug scott cotton,442
2020-05-27,Dave Creek,CORN,DCM-OTTER,Wed 5/27 afternoon,327
2020-05-27,Dave Creek,CORN,DCM-OTTER,Wed 5/27 latemorning,131
2020-05-27,Dave Creek,SOYBEANS,DCM-OTTER,Wed 5/27 afternoon,219
2020-05-27,Dave north south,SOYBEANS,DCM-OTTER,Wed 5/27 latemorning,571
2020-05-27,East,COTTON,DCM-DOLPHIN,medium cotton,43
2020-05-27,Home north,SOYBEANS,DCM-OTTER,Wed 5/27 latemorning,793
2020-05-27,Home south,CORN,DCM-OTTER,Wed 5/27 latemorning,548
2020-05-27,West,COTTON,DCM-DOLPHIN,small cotton,281
2020-05-27,airbase 3&4,COTTON,DCM-MANATEE,keasler cotton,235
2020-05-27,east,COTTON,DCM-DOLPHIN,small cotton,251
2020-05-27,west,COTTON,DCM-DOLPHIN,small cotton,156
2020-05-28,40,COTTON,DCM-MANATEE,wildy cotton,593
2020-05-28,632 Meyer Dr east,SOYBEANS,DCM-OTTER,Thurs 5/28 afternoon,779
2020-05-28,632 Meyer Dr west,SOYBEANS,DCM-OTTER,Thurs 5/28 afternoon,462
2020-05-28,768 Farm Dr,CORN,DCM-OTTER,Thurs 5/28 afternoon,34
2020-05-28,Behind Shop,COTTON,DCM-DOLPHIN,small cotton,273
2020-05-28,D04,CORN,DCM-MANATEE,wildy corn,296
2020-05-28,North,COTTON,DCM-DOLPHIN,small cotton,270
