,dp_id,MissedWeeds,MissedCrop,CasW,WasC,FPWeed,FPCrop,Total,labeled_instances,actual_instances
177,5ec49620ce7cf4e480e0fc7a,3,0,0,1,0,0,4,43,47
178,5ec1c5254ddd2e50e4c4e1e2,1,0,0,1,0,0,2,32,34
179,5ec3a04af74039079431d7cf,0,0,1,1,0,0,2,34,34
180,5ec1c5254ddd2e50e4c4e1f4,0,0,3,0,0,0,3,27,24
181,5ec1c5254ddd2e50e4c4e1f2,0,0,0,0,0,0,0,4,4
182,5ec345cbeb3c5c2d4d3c3db4,0,0,0,0,0,0,0,6,6
183,5ec365b278428c2a8594e71d,0,0,1,0,2,0,3,16,13
184,5ec22877c8b1fa5908bf7447,1,0,0,0,0,0,1,14,15
185,5ec1c5254ddd2e50e4c4e160,0,0,1,0,0,0,1,23,22
186,5ec1c5254ddd2e50e4c4e15e,0,2,0,0,1,0,3,6,5
187,5ec3c03588a698ac8e803c31,0,1,0,0,2,0,3,4,2
188,5ec1c5254ddd2e50e4c4e15c,0,0,0,0,2,0,2,11,9
189,5ed72bbaf011b5d3c876df7c,1,0,0,0,0,0,1,11,12
190,5ec1c5254ddd2e50e4c4e159,0,0,0,0,0,0,0,16,16
191,5ec6018999776a1a80ca908f,0,0,0,0,1,0,1,29,28
192,5ec48ccdce7cf4e480e0ebb2,1,0,0,0,0,0,1,21,22
193,5ec8a36b6afe4bb02b4bc5ba,0,0,0,0,0,0,0,28,28
194,5ec382848ce9e78bf9fd4d48,9,1,0,0,0,0,10,18,27
195,5ec3ab4585843944fc3c4631,4,0,0,0,0,0,4,25,29
196,5ec35a675de77edd8ca45c0b,3,0,2,1,5,0,11,42,39
197,5ec1c5254ddd2e50e4c4e12a,2,0,2,0,0,2,6,33,33
198,5ec1c5254ddd2e50e4c4e128,1,0,1,0,0,1,3,43,43
199,5ec38e15880d83c3c0a4430e,2,0,0,0,1,0,3,32,33
200,5ec4a633ce7cf4e480e11c61,1,0,1,1,1,3,7,20,20
201,5ec35e626d2075dd105aafe6,1,0,0,0,0,0,1,21,22
202,5ec1c5254ddd2e50e4c4e132,0,0,0,0,0,0,0,16,16
203,5ec1c5254ddd2e50e4c4e12f,0,2,0,1,0,0,3,6,7
204,5ec3ac6c8bd6eeb59bd3e779,1,0,0,1,0,0,2,11,13
205,5ec1c5254ddd2e50e4c4e141,0,0,0,0,0,0,0,7,7
206,5ec3795fa63dcfde9766b37f,1,0,1,0,0,0,2,26,26
207,5ec36a1b7ab9110b66978860,3,1,0,0,0,0,4,18,21
208,5ec1c5254ddd2e50e4c4e13d,7,0,0,0,0,0,7,25,32
209,5ec1c5254ddd2e50e4c4e13c,1,0,0,1,0,1,3,13,15
210,5ec1c5254ddd2e50e4c4e13b,0,0,0,1,2,0,3,26,25
211,5ec4ad04ce7cf4e480e12265,3,0,0,2,0,0,5,35,40
212,5ec365ee79fe82118b8dfde7,7,0,0,0,0,0,7,48,55
213,5ec24b76f43326768b40b905,15,1,1,1,0,0,18,22,37
214,5ec5781268d373ba5bd7432b,1,2,5,0,7,0,15,13,2
215,5ecf6dd527f11d3c5c0931f9,0,2,0,0,0,0,2,2,2
216,5ed77b2201acc36a879bc38f,0,0,1,1,0,0,2,2,2
217,5ec3a8d4a2ac22245c05223a,0,0,0,0,0,0,0,3,3
218,5ec3a8d4a2ac22245c052231,1,0,1,0,0,0,2,2,2
219,5ece2ae3131b770cf4828b7e,0,0,0,0,1,0,1,2,1
220,5ec484a4ce7cf4e480e0e384,0,0,0,0,0,0,0,1,1
221,5ec7985e214ead7cb6917091,0,0,0,0,1,0,1,6,5
222,5ed09d316bffef8452ef5440,0,1,0,0,0,1,2,1,1
